"distcode","distname","procode","distname_si","distname_ta","status"
"D01","COLOMBO","P05",,,"1"
"D02","GAMPAHA","P05",,,"1"
"D03","KALUTARA","P05",,,"1"
"D04","KANDY","P01",,,"1"
"D05","MATALE","P01",,,"1"
"D06","NUWARA ELIYA","P01",,,"1"
"D07","GALLE","P08",,,"1"
"D08","MATARA","P08",,,"1"
"D09","HAMBANTOTA","P08",,,"1"
"D10","JAFFNA","P04",,,"1"
"D11","KILINOCHCHI","P04",,,"1"
"D12","MANNAR","P04",,,"1"
"D13","VAVUNIA","P04",,,"1"
"D14","MULLATIVU","P04",,,"1"
"D15","BATTICALOA","P02",,,"1"
"D16","AMPARA","P02",,,"1"
"D17","TRINCOMALEE","P02",,,"1"
"D18","KURUNEGALA","P06",,,"1"
"D19","PUTTALAM","P06",,,"1"
"D20","ANURADHAPURA","P03",,,"1"
"D21","POLONNARUWA","P03",,,"1"
"D22","BADULLA","P09",,,"1"
"D23","MONARAGALA","P09",,,"1"
"D24","RATNAPURA","P07",,,"1"
"D25","KEGALLE","P07",,,"1"
