old_divcode,old_divisionname,new_divcode,new_divisionname,distcode,zonecode,divisionname_si,divisionname_ta,status
ED1612,ADDALACHCHENAI DIVISIONAL EDUCATION OFFICE,55221,ADDALACHCHENAI  DIVISIONAL EDUCATION OFFICE,D16,ZN1606,,,1
ED0309,AGALAWATTA I DIVISIONAL EDUCATION OFFICE,51328,AGALAWATTA  DIVISIONAL EDUCATION OFFICE,D03,ZN0302,,,1
ED1613,AKKARAIPATTU DIVISIONAL EDUCATION OFFICE,55222,AKKARAIPATTU DIVISIONAL EDUCATION OFFICE,D16,ZN1606,,,1
ED0703,AKMEEMANA DIVISIONAL EDUCATION OFFICE,53129,AKMEEMANA DIVISIONAL EDUCATION OFFICE,D07,ZN0701,,,1
ED0414,AKURANA DIVISIONAL EDUCATION OFFICE,52128,AKURANA DIVISIONAL EDUCATION OFFICE,D04,ZN0407,,,1
ED0806,AKURESSA DIVISIONAL EDUCATION OFFICE,53221,AKURESSA DIVISIONAL EDUCATION OFFICE,D08,ZN0802,,,1
ED1806,ALAWWA DIVISIONAL EDUCATION OFFICE,56121,ALAWWA DIVISIONAL EDUCATION OFFICE,D18,ZN1805,,,1
ED1614,ALAYADIVEMBU DIVISIONAL EDUCATION OFFICE,55239,ALAYADIVEMBU DIVISIONAL EDUCATION OFFICE,D16,ZN1607,,,1
ED0602,AMBAGAMUWA DIVISIONAL EDUCATION OFFICE,52322,AMBAGAMUWA DIVISIONAL EDUCATION OFFICE,D06,ZN0603,,,1
ED0707,AMBALANGODA DIVISIONAL EDUCATION OFFICE,53121,AMBALANGODA DIVISIONAL EDUCATION OFFICE,D07,ZN0703,,,1
ED0908,AMBALANTOTA DIVISIONAL EDUCATION OFFICE,53321,AMBALANTOTA DIVISIONAL EDUCATION OFFICE,D09,ZN0902,,,1
ED0505,AMBANGANGA KORALE DIVISIONAL EDUCATION OFFICE,52228,AMBANGANGA KORALE DIVISIONAL EDUCATION OFFICE,D05,ZN0503,,,1
ED1601,AMPARA DIVISIONAL EDUCATION OFFICE,55224,AMPARA DIVISIONAL EDUCATION OFFICE,D16,ZN1601,,,1
ED1903,ANAMADUWA DIVISIONAL EDUCATION OFFICE,56225,ANAMADUWA DIVISIONAL EDUCATION OFFICE,D19,ZN1901,,,1
ED0906,ANGUNAKOLAPELESSA DIVISIONAL EDUCATION OFFICE,53326,ANGUNAKOLAPELESSA DIVISIONAL EDUCATION OFFICE,D09,ZN0901,,,1
ED1908,ARACHCHIKATTUWA DIVISIONAL EDUCATION OFFICE,56221,ARACHCHIKATTUWA DIVISIONAL EDUCATION OFFICE,D19,ZN1902,,,1
ED2108,ARALAGANWILA DIVISIONAL EDUCATION OFFICE,57221,ARALAGANWILA DIVISIONAL EDUCATION OFFICE,D21,ZN2103,,,1
ED2510,ARANAYAKE DIVISIONAL EDUCATION OFFICE,59230,ARANAYAKA DIVISIONAL EDUCATION OFFICE,D25,ZN2503,,,1
ED0202,ATTANAGALLA DIVISIONAL EDUCATION OFFICE,51221,ATTANAGALLA DIVISIONAL EDUCATION OFFICE,D02,ZN0201,,,1
ED2406,AYAGAMA DIVISIONAL EDUCATION OFFICE,59127,AYAGAMA DIVISIONAL EDUCATION OFFICE,D24,ZN2404,,,1
ED2306,BADALKUMBURA DIVISIONAL EDUCATION OFFICE,58224,BADALKUMBURA DIVISIONAL EDUCATION OFFICE,D23,ZN2301,,,1
ED0715,BADDEGAMA DIVISIONAL EDUCATION OFFICE,53130,BADDEGAMA DIVISIONAL EDUCATION OFFICE,D07,ZN0701,,,1
ED2201,BADULLA DIVISIONAL EDUCATION OFFICE,58121,BADULLA DIVISIONAL EDUCATION OFFICE,D22,ZN2201,,,1
ED2408,BALANGODA DIVISIONAL EDUCATION OFFICE,59121,BALANGODA DIVISIONAL EDUCATION OFFICE,D24,ZN2403,,,1
ED0710,BALAPITIYA DIVISIONAL EDUCATION OFFICE,53122,BALAPITIYA DIVISIONAL EDUCATION OFFICE,D07,ZN0703,,,1
ED0302,BANDARAGAMA DIVISIONAL EDUCATION OFFICE,51321,BANDARAGAMA DIVISIONAL EDUCATION OFFICE,D03,ZN0303,,,1
ED2207,BANDARAWELA DIVISIONAL EDUCATION OFFICE,58123,BANDARAWELA DIVISIONAL EDUCATION OFFICE,D22,ZN2202,,,1
ED0902,BELIATTA DIVISIONAL EDUCATION OFFICE,53327,BELIATTA DIVISIONAL EDUCATION OFFICE,D09,ZN0901,,,1
ED0708,BENTOTA DIVISIONAL EDUCATION OFFICE,53124,BENTOTA DIVISIONAL EDUCATION OFFICE,D07,ZN0702,,,1
ED0304,BERUWALA DIVISIONAL EDUCATION OFFICE,51324,BERUWALA DIVISIONAL EDUCATION OFFICE,D03,ZN0301,,,1
ED2308,BIBILE DIVISIONAL EDUCATION OFFICE,58221,BIBILE DIVISIONAL EDUCATION OFFICE,D23,ZN2303,,,1
ED1810,BINGIRIYA DIVISIONAL EDUCATION OFFICE,56127,BINGIRIYA DIVISIONAL EDUCATION OFFICE,D18,ZN1802,,,1
ED0206,BIYAGAMA DIVISIONAL EDUCATION OFFICE,51224,BIYAGAMA DIVISIONAL EDUCATION OFFICE,D02,ZN0204,,,1
ED0117,BORELLA DIVISIONAL EDUCATION OFFICE,51121,BORELLA DIVISIONAL EDUCATION OFFICE,D01,ZN0101,,,1
ED0308,BULATHSINHALA DIVISIONAL EDUCATION OFFICE,51322,BULATHSINHALA DIVISIONAL EDUCATION OFFICE,D03,ZN0303,,,1
ED2302,BUTTALA DIVISIONAL EDUCATION OFFICE,58227,BUTTALA DIVISIONAL EDUCATION OFFICE,D23,ZN2302,,,1
ED1011,CHANKANAI DIVISIONAL EDUCATION OFFICE,54132,CHANKANAI DIVISIONAL EDUCATION OFFICE,D10,ZN1004,,,1
ED1003,CHAVAKACHCHERI DIVISIONAL EDUCATION OFFICE,54128,CHAVAKACHCHERI DIVISIONAL EDUCATION OFFICE,D10,ZN1003,,,1
ED1907,CHILAW DIVISIONAL EDUCATION OFFICE,56222,CHILAW DIVISIONAL EDUCATION OFFICE,D19,ZN1902,,,1
ED0115,COLOMBO - CENTRAL DIVISIONAL EDUCATION OFFICE,51122,COLOMBO CENTRAL DIVISIONAL EDUCATION OFFICE,D01,ZN0101,,,1
ED0114,COLOMBO - NORTH DIVISIONAL EDUCATION OFFICE,51123,COLOMBO NORTH DIVISIONAL EDUCATION OFFICE,D01,ZN0101,,,1
ED0116,COLOMBO - SOUTH DIVISIONAL EDUCATION OFFICE,51124,COLOMBO SOUTH DIVISIONAL EDUCATION OFFICE,D01,ZN0101,,,1
ED1822,DAHANATGEDERA DIVISIONAL EDUCATION OFFICE,56128,DAHANEKGEDARA DIVISIONAL EDUCATION OFFICE,D18,ZN1802,,,1
ED1604,DAMANA DIVISIONAL EDUCATION OFFICE,55225,DAMANA DIVISIONAL EDUCATION OFFICE,D16,ZN1601,,,1
ED0507,DAMBULLA DIVISIONAL EDUCATION OFFICE,52221,DAMBULLA DIVISIONAL EDUCATION OFFICE,D05,ZN0502,,,1
