cencode,institutionname,new_cencode,new_institutionname,address,distcode,zonecode,divcode,schooltype,schoolcategory,status
ZN1606,AKKARAIPATTU ZONAL EDUCATION OFFICE,55206,AKKARAIPATTU ZONAL EDUCATION OFFICE,,D16,ZN1606,ED1613,8,,1
ZN0802,AKURESSA ZONAL EDUCATION OFFICE,53202,AKURESSA ZONAL EDUCATION OFFICE,,D08,ZN0802,ED0806,8,,1
ZN0703,AMBALANGODA ZONAL EDUCATION OFFICE,53103,AMBALANGODA ZONAL EDUCATION OFFICE,,D07,ZN0703,ED0707,8,,1
ZN1601,AMPARA ZONAL EDUCATION OFFICE,55201,AMPARA ZONAL EDUCATION OFFICE,,D16,ZN1601,ED1601,8,,1
ZN2001,ANURADHAPURA ZONAL EDUCATION OFFICE,57101,ANURADHAPURA ZONAL EDUCATION OFFICE,,D20,ZN2001,ED2001,8,,1
ZN2201,BADULLA ZONAL EDUCATION OFFICE,58101,BADULLA ZONAL EDUCATION OFFICE,,D22,ZN2201,ED2203,8,,1
ZN2403,BALANGODA ZONAL EDUCATION OFFICE,59103,BALANGODA ZONAL EDUCATION OFFICE,,D24,ZN2403,ED2408,8,,1
ZN2202,BANDARAWELA ZONAL EDUCATION OFFICE,58102,BANDARAWELA ZONAL EDUCATION OFFICE,,D22,ZN2202,ED2207,8,,1
ZN1504,BATTICALOA CENTRAL ZONAL EDUCATION OFFICE,55104,BATTICALOA CENTRAL ZONAL EDUCATION OFFICE,,D15,ZN1504,ED1503,8,,1
ZN1505,BATTICALOA WEST ZONAL EDUCATION OFFICE,55105,BATTICALOA WEST ZONAL EDUCATION OFFICE,,D15,ZN1505,ED1509,8,,1
ZN1501,BATTICALOA ZONAL EDUCATION OFFICE,55101,BATTICALOA ZONAL EDUCATION OFFICE,,D15,ZN1501,ED1501,8,,1
ZN2303,BIBILE ZONAL EDUCATION OFFICE,58203,BIBILE ZONAL EDUCATION OFFICE,,D23,ZN2303,ED2309,8,,1
ZN1902,CHILAW ZONAL EDUCATION OFFICE,56202,CHILAW ZONAL EDUCATION OFFICE,,D19,ZN1902,ED1907,8,,1
ZN0101,COLOMBO ZONAL EDUCATION OFFICE,51101,COLOMBO ZONAL EDUCATION OFFICE,,D01,ZN0101,ED0115,8,,1
ZN1605,DEHIATTAKANDIYA ZONAL EDUCATION OFFICE,55205,DEHIATTAKANDIYA ZONAL EDUCATION OFFICE,,D16,ZN1605,ED1605,8,,1
ZN2504,DEHIOWITA ZONAL EDUCATION OFFICE,59204,DEHIOWITA ZONAL EDUCATION OFFICE,,D25,ZN2504,ED2505,8,,1
ZN0804,DENIYAYA (MORAWAKA) ZONAL EDUCATION OFFICE,53204,MORAWAKA (DENIYAYA) ZONAL EDUCATION OFFICE,,D08,ZN0804,ED0812,8,,1
ZN0403,DENUWARA ZONAL EDUCATION OFFICE,52103,DENUWARA ZONAL EDUCATION OFFICE,,D04,ZN0403,ED0402,8,,1
ZN2103,DIMBULAGALA ZONAL EDUCATION OFFICE,57203,DIMBULAGALA ZONAL EDUCATION OFFICE,,D21,ZN2103,ED2103,8,,1
ZN0702,ELPITIYA ZONAL EDUCATION OFFICE,53102,ELPITIYA ZONAL EDUCATION OFFICE,,D07,ZN0702,ED0706,8,,1
ZN2405,EMBILIPITIYA ZONAL EDUCATION OFFICE,59105,EMBILIPITIYA ZONAL EDUCATION OFFICE,,D24,ZN2405,ED2413,8,,1
ZN2004,GALENBINDUNUWEWA ZONAL EDUCATION OFFICE,57104,GALENBINDUNUWEWA ZONAL EDUCATION OFFICE,,D20,ZN2004,ED2015,8,,1
ZN0502,GALEWELA ZONAL EDUCATION OFFICE,52202,GALEWELA ZONAL EDUCATION OFFICE,,D05,ZN0502,ED0506,8,,1
ZN0701,GALLE ZONAL EDUCATION OFFICE,53101,GALLE ZONAL EDUCATION OFFICE,,D07,ZN0701,ED0701,8,,1
ZN0201,GAMPAHA ZONAL EDUCATION OFFICE,51201,GAMPAHA ZONAL EDUCATION OFFICE,,D02,ZN0201,ED0201,8,,1
ZN0404,GAMPOLA ZONAL EDUCATION OFFICE,52104,GAMPOLA ZONAL EDUCATION OFFICE,,D04,ZN0404,ED0404,8,,1
